Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,tag
2025-04-01,2025-07-31,121 days,0.0,10000.0,10000.0,,0.0,35.939803429705194,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,TriplePatternStrategy_9p,BTCUSDT_1d
2025-04-01,2025-07-31,121 days,0.0,10000.0,10000.0,,0.0,35.939803429705194,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,TriplePatternStrategy_26p,BTCUSDT_1d
2025-04-01,2025-07-31,121 days,0.0,10000.0,10000.0,,0.0,35.939803429705194,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,ButterflyStrategy_9p,BTCUSDT_1d
2025-04-01,2025-07-31,121 days,0.0,10000.0,10000.0,,0.0,35.939803429705194,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,ButterflyStrategy_26p,BTCUSDT_1d
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,20.426216324889428,9712.214960399993,10865.274522399995,2184.0300396000002,-2.877850396000067,49.15432393693263,-9.652540128686105,23.884041953777654,-8.368278835008935,-0.4041418176775308,-0.5818462096134669,-0.9095583766266582,-4.051548240846979,0.023877814825666678,-10.61233712616132,-3.768527405972867,51 days 11:00:00,16 days 02:00:00,54,40.74074074074074,4.610000000000005,-2.4088043999436084,-0.0565195270546659,0 days 10:00:00,0 days 09:00:00,0.9492577707679455,-0.03886934457293562,-0.2045985338771495,-0.029882070752756562,TriplePatternStrategy_9p,XRPUSDT_1h
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,32.971451548049856,10318.679269399992,11427.139696599997,1988.1126306,3.186792693999924,49.15432393693263,11.521862604868115,34.40552575294127,9.843558468908897,0.33488407320394253,0.6093709661739138,0.9499177768921399,1.3289836336466077,0.037795435102250106,-12.129326227122906,-2.9052685101461844,51 days 10:00:00,7 days 08:00:00,49,42.857142857142854,4.614173535601552,-2.4088043999436084,0.06481403485163462,1 days 04:00:00,0 days 16:00:00,1.0908182547650525,0.09881843346497611,0.17117599168897626,0.023631923064641958,TriplePatternStrategy_26p,XRPUSDT_1h
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,0.0,10000.0,10000.0,,0.0,49.15432393693263,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,ButterflyStrategy_9p,XRPUSDT_1h
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,0.0,10000.0,10000.0,,0.0,49.15432393693263,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,ButterflyStrategy_26p,XRPUSDT_1h
2025-03-31 20:00:00,2025-07-31 16:00:00,121 days 20:00:00,1.5027322404371584,9945.4154802,10282.6981842,119.4104198,-0.5458451980000063,46.31800564620317,-1.6111020905127837,7.191657132853522,-1.6264037391407915,-0.22402376263918564,-0.3210768378213057,-0.4911748021528129,-0.6261213027423402,0.0017331511498037565,-3.280099230358202,-2.8141156191790975,64 days,32 days 22:00:00,3,33.33333333333333,4.371201280623622,-2.404000000000002,-0.19477375355263504,0 days 16:00:00,0 days 11:00:00,0.9097951391572482,-0.14446607676227702,-0.08229956846940972,-0.04291877742359329,TriplePatternStrategy_9p,XRPUSDT_4h
2025-03-31 20:00:00,2025-07-31 16:00:00,121 days 20:00:00,1.5027322404371584,9945.4154802,10282.6981842,119.4104198,-0.5458451980000063,46.31800564620317,-1.6111020905127837,7.191657132853522,-1.6264037391407915,-0.22402376263918564,-0.3210768378213057,-0.4911748021528129,-0.6261213027423402,0.0017331511498037565,-3.280099230358202,-2.8141156191790975,64 days,32 days 22:00:00,3,33.33333333333333,4.371201280623622,-2.404000000000002,-0.19477375355263504,0 days 16:00:00,0 days 11:00:00,0.9097951391572482,-0.14446607676227702,-0.08229956846940972,-0.04291877742359329,TriplePatternStrategy_26p,XRPUSDT_4h
